ProcessName,PID,FilePath,SHA256Hash
GBExperience,6416,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCO.LTD.SamsungWelcome_3.6.2.0_x64__3c1yjt4zspk6g\WindowsService\GBExperience.exe,FA551E0281E97B1BABF8CA5342B20CC836024F0261AA6D1C1E2EF812679624AC
Intel_PIE_Service,6472,C:\WINDOWS\System32\DriverStore\FileRepository\piecomponent.inf_amd64_ef0d92102be8d7c5\Intel_PIE_Service.exe,966251CA44B5C251EEF5A31973887EAA18BD6F613C3AC24E60FF7C462D60C8C3
IntelAudioService,4032,C:\WINDOWS\System32\DriverStore\FileRepository\intcoed.inf_amd64_6f0a892deb241071\AS\IAS\IntelAudioService.exe,876B3398E25E2756470DD7DA2CA294D253483C5A42CC9337D8BC2E15308F82A8
IntelCpHDCPSvc,2104,C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_80fa968b24ea7e4e\IntelCpHDCPSvc.exe,5D5EF3A7AD7A663712E2449C43474BFCFBB0D8C472CABE2AFE0D82B70147D6E5
ipf_helper,5784,C:\WINDOWS\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_1d0f5f1cb16186f0\ipf_helper.exe,85934EFB900C2F37D913DC1D1C9B25702A45B41DA44F29F9F2F0D3B7DA342194
ipf_uf,3464,C:\WINDOWS\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_1d0f5f1cb16186f0\ipf_uf.exe,DE4F507293D2B759DD5BE8C1B95EF3B24260C29D83D7BE4683802CF4DEA8FBCC
ipfsvc,4108,C:\WINDOWS\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_a56d66a9d40a4cb2\ipfsvc.exe,271C9372C80B8101373D9494EF0A51415CD6B770A228DA5041D4DD1327CB85B6
jhi_service,3988,C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe,4E30D1ED6BBD6C385A665D347342B72F84877589FE63D32268A68BDA61CE55D4
LiveWallpaperWindowsService,4160,C:\Program Files\Samsung\Live Wallpaper Service\LiveWallpaperWindowsService.exe,F4065075A4F06A063D7F5DB12291AEB651BBDF1A3529FDCCF55BABCC781E28AA
LockApp,6368,C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,4B554EE89D50C6AD0B8C9B37233F96D50FED5E9CC7DF541E45441DD26F7C2740
LoopbackExemptionManager,6344,C:\Program Files\WindowsApps\SAMSUNGELECTRONICSCoLtd.SamsungContinuityService_1.14.9.0_x64__wyx1vj98g3asy\LoopbackExemptionManager\LoopbackExemptionManager.exe,F10F3A36D682D31F60643230EE7D9EEBEA5B4ABDFCBBE379066B6A28423DA107
MicrosoftStartFeedProvider,12208,C:\Program Files\WindowsApps\Microsoft.StartExperiencesApp_1.151.0.0_x64__8wekyb3d8bbwe\MicrosoftStartFeedProvider\MicrosoftStartFeedProvider.exe,E69B54F3687A309A192B65F9EC25DF3110979CAAA8CF3439F89733F9289CD506
msedgewebview2,1428,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe,01F769AA651CB729AF11665353C1BFE1AFCF475831B824A6EBC6BCACF31BEA00
msedgewebview2,5020,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe,01F769AA651CB729AF11665353C1BFE1AFCF475831B824A6EBC6BCACF31BEA00
msedgewebview2,7184,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.94\msedgewebview2.exe,A8DC2D7B26405E4B5173B3516C4E2758699212C2BF29D10F494767ACE06689A9
msedgewebview2,7628,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.94\msedgewebview2.exe,A8DC2D7B26405E4B5173B3516C4E2758699212C2BF29D10F494767ACE06689A9
msedgewebview2,8224,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe,01F769AA651CB729AF11665353C1BFE1AFCF475831B824A6EBC6BCACF31BEA00
msedgewebview2,8776,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe,01F769AA651CB729AF11665353C1BFE1AFCF475831B824A6EBC6BCACF31BEA00
msedgewebview2,9064,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe,01F769AA651CB729AF11665353C1BFE1AFCF475831B824A6EBC6BCACF31BEA00
msedgewebview2,13096,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.94\msedgewebview2.exe,A8DC2D7B26405E4B5173B3516C4E2758699212C2BF29D10F494767ACE06689A9
msedgewebview2,16716,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.94\msedgewebview2.exe,A8DC2D7B26405E4B5173B3516C4E2758699212C2BF29D10F494767ACE06689A9
